,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
2,2,0.8827268412048832,2.7531846472542615e-109,High positive linear
15,15,0.8629796077240007,4.1041391539906527e-48,High positive linear
33,33,0.9469592823022809,1.6781793732851452e-184,Linear
35,35,0.828807818284977,3.364417656250128e-106,High positive linear
37,37,0.7976836884124019,7.03638036299145e-51,High positive linear
42,42,0.5716478063465809,2.3696308643941764e-23,Moderate positive linear
47,47,0.961458590875286,2.081048955052099e-281,Linear
55,55,0.5647385802339129,9.764457124884952e-18,Moderate positive linear
58,58,-0.853866418376293,1.2634079428854244e-58,High positive non-linear
67,67,0.9620627971056885,2.231112536923657e-211,Linear
71,71,0.9587698696633327,1.8312742330696898e-212,Linear
75,75,-0.8909480341942718,3.2471591063319324e-94,High positive non-linear
1019,1019,-0.10204067546914622,0.18811969956451544,Negligible corelation
1187,1187,0.8658407129297463,2.586068162464126e-40,High positive linear
